gene_id	module_id	wgcna_numeric_label	wgcna_color	assigned_kme
ENSRNOG00000030334	M004	4	yellow	0.696297556297928
ENSRNOG00000031004	M001	1	turquoise	0.959142186654405
ENSRNOG00000031211	M001	1	turquoise	0.667594379619224
ENSRNOG00000031612	M002	2	blue	0.817171186995804
ENSRNOG00000031651	M001	1	turquoise	0.552582149105093
ENSRNOG00000032202	M003	3	brown	0.937192612152065
ENSRNOG00000032708	grey	0	grey	
ENSRNOG00000032745	M002	2	blue	0.914384249800111
ENSRNOG00000032778	M001	1	turquoise	0.546100115928761
ENSRNOG00000032871	grey	0	grey	
ENSRNOG00000032908	M001	1	turquoise	0.953754856495918
ENSRNOG00000032959	M001	1	turquoise	0.859700286148301
ENSRNOG00000033195	M001	1	turquoise	0.449342753132614
ENSRNOG00000033415	grey	0	grey	
ENSRNOG00000033824	M006	6	red	0.853987590155117
ENSRNOG00000036659	M002	2	blue	0.914399860882499
ENSRNOG00000036942	M004	4	yellow	0.499901193383659
ENSRNOG00000036960	M002	2	blue	0.563075707015432
ENSRNOG00000037225	M001	1	turquoise	0.842707844806598
ENSRNOG00000038738	M001	1	turquoise	0.525719609926339
ENSRNOG00000038902	M005	5	green	0.657016827350025
ENSRNOG00000039091	M003	3	brown	0.805302222892778
ENSRNOG00000039740	M001	1	turquoise	0.370618664030144
ENSRNOG00000040108	M001	1	turquoise	0.908873249004239
ENSRNOG00000042162	M001	1	turquoise	0.624696815810497
ENSRNOG00000042607	M006	6	red	0.730303235529085
ENSRNOG00000043077	M005	5	green	0.574660791090566
ENSRNOG00000045636	M004	4	yellow	0.373572068658325
ENSRNOG00000046643	M002	2	blue	0.63343139053069
ENSRNOG00000046864	M006	6	red	0.93333860494393
ENSRNOG00000047860	M001	1	turquoise	0.841598483017355
ENSRNOG00000050210	grey	0	grey	
ENSRNOG00000050401	M005	5	green	0.600457960422938
ENSRNOG00000050424	M001	1	turquoise	0.88846428688777
ENSRNOG00000050519	M001	1	turquoise	0.890166380557634
ENSRNOG00000051854	M002	2	blue	0.786279823762661
ENSRNOG00000053201	M001	1	turquoise	0.824687379549422
ENSRNOG00000053410	M003	3	brown	0.770056865032429
ENSRNOG00000053460	M003	3	brown	0.91958253416466
ENSRNOG00000053787	M006	6	red	0.741013081146736
ENSRNOG00000054259	M006	6	red	0.627646605994471
ENSRNOG00000054344	M002	2	blue	0.582566919680004
ENSRNOG00000054962	M002	2	blue	0.691725821126075
ENSRNOG00000055221	M001	1	turquoise	0.881893281928444
ENSRNOG00000055909	M002	2	blue	0.786184215207842
ENSRNOG00000055984	M004	4	yellow	0.547607441732431
ENSRNOG00000056098	M003	3	brown	0.759588646878204
ENSRNOG00000056457	M004	4	yellow	0.86864671080768
ENSRNOG00000056596	M003	3	brown	0.488993907131467
ENSRNOG00000056637	M003	3	brown	0.910552974666071
ENSRNOG00000056847	M004	4	yellow	0.526681068901658
ENSRNOG00000056940	M007	7	black	0.752351077958686
ENSRNOG00000057264	M001	1	turquoise	0.938437623358656
ENSRNOG00000057278	M002	2	blue	0.494883445118178
ENSRNOG00000057832	M001	1	turquoise	0.364267488895581
ENSRNOG00000057957	M007	7	black	0.79352670889909
ENSRNOG00000058393	grey	0	grey	
ENSRNOG00000058522	M007	7	black	0.808286377399863
ENSRNOG00000058780	grey	0	grey	
ENSRNOG00000058842	M006	6	red	0.730306435189838
ENSRNOG00000059538	M002	2	blue	0.786572001408573
ENSRNOG00000059834	grey	0	grey	
ENSRNOG00000059921	M002	2	blue	0.641762928004918
ENSRNOG00000060248	M001	1	turquoise	0.931696901724192
ENSRNOG00000061414	M004	4	yellow	0.754987513308356
